Review Title,Review Text,Username,Location,Rating
Pretty good. ,"We went to universal trying to look at as people who’ve never been to US Florida. Not easy.
There’s loads to do, prices ok and the rides have a wide age span.
My advise - get on the big rides first. At 1pm, rides we’re...More",paulmoggie,"Cockermouth, United Kingdom",1.5
Express service,"If you up the price for the Express lane to $90, you must Ensure that ppl don’t have to still wait for 45min for the rides.
Instead of being greedy to earn more, you should set a cap on the number of Express pass given...More",danielmO3660AS,,0.5
a customary visit,They have quiet similar stuff like the one in Universal Studio Hollywood of US. The Jurassic World ride is different and the biggest difference is the Studio tour rides in Hollywood where most of the actual shooting happens. The Singapore one tries to recreate that...More,wmhtet,"Yangon (Rangoon), Myanmar",2.5
A must for everone,"Your trip to Singapore is not complete unless you go to Universal Studios, be prepared to spend a long day we spent 9 hours there but just pace yourself and take your time pre purchase your ticket online before you leave for your trip we...More",38Russ,"Melbourne, Australia",2.5
Nice place,"Do not expect western standard.
You will be entertained.
Language spoken English and mandarin.
Remember to check the weather before you go.
If you go on public holidays. Buy the express pass. You can not use them on every attraction.",Knut B,,1.5
Amazing rides and detailed work,"I went with my friend and we totally enjoyed all the rides, although on each ride, we had to line up an hour each.
The cyclon and the mummy was the best ride but other than that, I would commend them with the Steven Spielberg’s...More",Joram B,,2.5
Fun Day - best to get the fast pass,Fun day. Can be crowded especially on the weekend. Make sure you spend the extra and get the fast pass option to speed up the ride time.,John K,"Torquay, Australia",2.0
Fantastic experience,"We've been here twice and it never failed us! We really love the park. Top 3 rides: Transformer, The Mummy, and the giant roller coaster!",andrewsusanto,"Jakarta, Indonesia",2.0
A bit crowded,"There are numerous choices of rides and attractions but it may take more than an hour waiting time for exciting rides such as Human, Xylone, Mummy, Transformers, etc. depending on time of the day and day of the week. But, it's worth the wait.",JeanRaltique,,2.0
Great Place,This was our third trip to universal studios. As always it’s a great place and highly recommended for anyone!,Marc Z,"Melbourne, Australia",2.5
Pretty good. ,"We went to universal trying to look at as people who’ve never been to US Florida. Not easy.
There’s loads to do, prices ok and the rides have a wide age span.
My advise - get on the big rides first. At 1pm, rides we’re...More",paulmoggie,"Cockermouth, United Kingdom",1.5
Express service,"If you up the price for the Express lane to $90, you must Ensure that ppl don’t have to still wait for 45min for the rides.
Instead of being greedy to earn more, you should set a cap on the number of Express pass given...More",danielmO3660AS,,0.5
a customary visit,They have quiet similar stuff like the one in Universal Studio Hollywood of US. The Jurassic World ride is different and the biggest difference is the Studio tour rides in Hollywood where most of the actual shooting happens. The Singapore one tries to recreate that...More,wmhtet,"Yangon (Rangoon), Myanmar",2.5
A must for everone,"Your trip to Singapore is not complete unless you go to Universal Studios, be prepared to spend a long day we spent 9 hours there but just pace yourself and take your time pre purchase your ticket online before you leave for your trip we...More",38Russ,"Melbourne, Australia",2.5
Nice place,"Do not expect western standard.
You will be entertained.
Language spoken English and mandarin.
Remember to check the weather before you go.
If you go on public holidays. Buy the express pass. You can not use them on every attraction.",Knut B,,1.5
Amazing rides and detailed work,"I went with my friend and we totally enjoyed all the rides, although on each ride, we had to line up an hour each.
The cyclon and the mummy was the best ride but other than that, I would commend them with the Steven Spielberg’s...More",Joram B,,2.5
Fun Day - best to get the fast pass,Fun day. Can be crowded especially on the weekend. Make sure you spend the extra and get the fast pass option to speed up the ride time.,John K,"Torquay, Australia",2.0
Fantastic experience,"We've been here twice and it never failed us! We really love the park. Top 3 rides: Transformer, The Mummy, and the giant roller coaster!",andrewsusanto,"Jakarta, Indonesia",2.0
A bit crowded,"There are numerous choices of rides and attractions but it may take more than an hour waiting time for exciting rides such as Human, Xylone, Mummy, Transformers, etc. depending on time of the day and day of the week. But, it's worth the wait.",JeanRaltique,,2.0
Great Place,This was our third trip to universal studios. As always it’s a great place and highly recommended for anyone!,Marc Z,"Melbourne, Australia",2.5
Pretty good. ,"We went to universal trying to look at as people who’ve never been to US Florida. Not easy.
There’s loads to do, prices ok and the rides have a wide age span.
My advise - get on the big rides first. At 1pm, rides we’re...More",paulmoggie,"Cockermouth, United Kingdom",1.5
Express service,"If you up the price for the Express lane to $90, you must Ensure that ppl don’t have to still wait for 45min for the rides.
Instead of being greedy to earn more, you should set a cap on the number of Express pass given...More",danielmO3660AS,,0.5
a customary visit,They have quiet similar stuff like the one in Universal Studio Hollywood of US. The Jurassic World ride is different and the biggest difference is the Studio tour rides in Hollywood where most of the actual shooting happens. The Singapore one tries to recreate that...More,wmhtet,"Yangon (Rangoon), Myanmar",2.5
A must for everone,"Your trip to Singapore is not complete unless you go to Universal Studios, be prepared to spend a long day we spent 9 hours there but just pace yourself and take your time pre purchase your ticket online before you leave for your trip we...More",38Russ,"Melbourne, Australia",2.5
Nice place,"Do not expect western standard.
You will be entertained.
Language spoken English and mandarin.
Remember to check the weather before you go.
If you go on public holidays. Buy the express pass. You can not use them on every attraction.",Knut B,,1.5
Amazing rides and detailed work,"I went with my friend and we totally enjoyed all the rides, although on each ride, we had to line up an hour each.
The cyclon and the mummy was the best ride but other than that, I would commend them with the Steven Spielberg’s...More",Joram B,,2.5
Fun Day - best to get the fast pass,Fun day. Can be crowded especially on the weekend. Make sure you spend the extra and get the fast pass option to speed up the ride time.,John K,"Torquay, Australia",2.0
Fantastic experience,"We've been here twice and it never failed us! We really love the park. Top 3 rides: Transformer, The Mummy, and the giant roller coaster!",andrewsusanto,"Jakarta, Indonesia",2.0
A bit crowded,"There are numerous choices of rides and attractions but it may take more than an hour waiting time for exciting rides such as Human, Xylone, Mummy, Transformers, etc. depending on time of the day and day of the week. But, it's worth the wait.",JeanRaltique,,2.0
Great Place,This was our third trip to universal studios. As always it’s a great place and highly recommended for anyone!,Marc Z,"Melbourne, Australia",2.5
